,posted,location,jobType,description,name,title,feed,date_of_scrape,Job Role,Job_ind,day,Month,Year,days_ago,experience,Tools,Soft Skills,Industry Skills,education,keyword_count
1,Posted on 4 Jul,Saudi Arabia,,"Job DescriptionRoles & ResponsibilitiesJob DescriptionThe Data Senior Consultant is responsible for leading the design, implementation, and optimization of data-driven solutions for clients. They serve as a subject matter expert, guiding the organization's data strategy and overseeing the delivery of data engineering, analytics, and business intelligence projects. Roles and responsibilities: Define the overall data architecture and roadmap to support the organization's business objectives and data requirements Design and implement scalable, secure, and high-performance data infrastructure, including data lakes, data warehouses Develop robust data ingestion, transformation, and processing pipelines using modern data engineering tools and techniques Optimize data storage, access, and query performance through the effective use of database technologies, indexing, and partitioning Qualifications Bachelor's degree in Computer Science, Information Technology, or a related technical field7+ years of experience in data engineering, analytics, or business intelligence rolesExpertise in designing and implementing data platforms and architectures, including data lakes, data warehousesProficiency in data ingestion, transformation, and processing technologies (e.g. Apache Spark, Apache Kafka, Apache Airflow, Databricks)Strong working knowledge of relational databases (e.g. SQL Server, PostgreSQL, MySQL) and NoSQL databases (e.g. MongoDB, Cassandra, Couchbase)Experience with ETL/ELT tools and data integration frameworks.Experience with cloud-based data services and platforms (e.g. Azure Synapse, Google BigQuery, AWS Glue)Expertise in data modeling, dimensional modeling, and schema designFamiliarity with data visualization and business intelligence tools (e.g. Power BI, Tableau, Qlik)Understanding of data mining, machine learning, and predictive analytics techniquesAbility to translate complex data requirements into scalable, efficient, and maintainable solutionsIndustry certifications (e.g. AWS Certified Data Analytics Specialty, Azure Data Engineer Associate, Google Cloud Certified Data Engineer)",Devoteam International,Senior Data Consultant,https://www.naukrigulf.com/senior-data-consultant-jobs-in-saudi-arabia-in-devoteam-international-7-to-8-years-n-cd-10002691-jid-050724500503,2024-07-26,DATA ENGINEER,2,26,7,2024,57,7-8,,"['design', 'organization', 'responsible']","['business intelligence', 'cloud', 'data architecture', 'data ingestion', 'data integration', 'data mining', 'data modeling', 'data visualization', 'machine learning', 'transform']",['bachelor'],16
2,Posted on 30 Jun,Riyadh,,"Job DescriptionRoles & Responsibilities- Bachelor s Degree in Electrical Engineering or equivalent experience.- 9+ cumulative years of experience with industrial or commercial engineering in Mission Critical facilities including but not limited to: data centers, power generation, oil/gas facilities. (Experienced Engineer) As an Amazon Field Engineer, you will provide full life-cycle support to AWS Data Centers from design inception through site improvement and maintenance. You will be the  go to  engineering resource for your region when technical advice is needed, and will use your subject matter expertise and engage with diverse teams to:  Perform design and equipment submittal review for new Data Centers in your region.  Troubleshoot, conduct Root Cause Analysis (RCA) and create Corrective Action (CA) documentation for site/equipment failures.   Directly support operational issues with ad-hoc training, complex operating procedure reviews, including critical equipment, and event support.  Own the conceptual design for existing data center upgrades and design-solutions, which add capacity, improve availability, increase efficiency and sustainability.  Interface with internal data center operations team, data center design engineering team, server hardware team, environmental health and safety team to promote standards that maintain consistency and reliability in services delivered.  Develop innovative solutions for AWS s data centers.  Work on concurrent projects, sometimes in multiple geographical regions.  Initiate and lead engineering audits including on-site visits within Amazon s data centers. Produce reports outlining risks with recommended mitigations and remediations.  Act as resident engineer during new construction projects. Support construction, commissioning, and turnover.AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain   and we re looking for talented people who want to help.You ll join a diverse team of software, hardware, and network engineers, supply chain specialists, security experts, operations managers, and other vital roles. You ll collaborate with people across AWS to help us deliver the highest standards for safety and security while providing seemingly infinite capacity at the lowest possible cost for our customers. And you ll experience an inclusive culture that welcomes bold ideas and empowers you to own them to completion.Key job responsibilitiesAmazon's vision is to be the world's most customer-centric company, and this role is key to that vision. As a Field Engineer, you will be leading projects to fit out our data centers to meet ever-evolving customer needs as we continue expanding our fleet to hyper-scale. As an ideal candidate you:  Possess Strong Engineering Judgement and are able to provide recommendations despite uncertainty/ambiguity. Are detail and data oriented.  Have experience solving problems with engineered solutions. and managing engineering projects and consultants.  Build trust and relationships with different stakeholders (e.g., Operations, Controls, Construction, Design, Commissioning, Product Managers, Technical Program Managers, ).  Are adaptable and inclined to get into the field to see things up close. Excited about a mix of office and field work.A day in the lifeEach day you will interact with different teams responsible for all aspects of the data centers. You will prioritize your activities to support data center capacity availability and safety focusing on the actions that are most impactful. You will have the opportunity to work on projects locally and globally.If you meet these qualifications, exude passion, and enjoy the challenge of innovative projects at hyper-scale, this job is for you!",AWS EMEA SARL (Saudi Arabia Branch),Data Center Electrical Engineer,https://www.naukrigulf.com/data-center-electrical-engineer-jobs-in-riyadh-saudi-arabia-in-aws-emea-sarl-3-to-5-years-n-cd-10002542-jid-010724500411,2024-07-26,DATA ENGINEER,2,26,7,2024,61,3-5,,"['design', 'focus', 'innovation', 'passion', 'planning', 'responsible']",['cloud'],['bachelor'],1
5,Employer ActivePosted 1 day ago,Riyadh,,"Job DescriptionRoles & ResponsibilitiesWe are looking for a highly skilled and experienced Senior Data Analyst to join our team in Riyadh, Saudi Arabia. As a Senior Data Analyst, you will be responsible for analyzing complex datasets to extract valuable insights and drive informed business decisions.Responsibilities:• Collaborate with cross-functional teams to identify and define business problems that can be solved through data analysis.• Design and implement data models, algorithms, and statistical techniques to analyze large datasets.• Develop and maintain data pipelines and ETL processes to ensure the accuracy and integrity of data.• Perform data cleansing, transformation, and validation to ensure data quality and consistency.• Develop and maintain data visualization dashboards and reports to communicate insights and findings to stakeholders."",""requirements"":""• Bachelor's degree in Computer Science or a related field.• Minimum 7 years of experience as a data analyst or in a similar role.• Good experience in Microsoft Power BI and building and managing DB.• Strong analytical and problem-solving skills with the ability to work with complex datasets.• Proficient in SQL and data analysis tools such as Python, R, or Tableau.• Experience with data visualization tools and techniques.• Microsoft Power BI data engineering & Database Administration Certifications are preferred.• Excellent communication and presentation skills to effectively communicate insights to non-technical stakeholders."",""translations"":[],""skills"":[""r"",""etl processes"",""data modeling"",""tableau"",""sql"",""python"",""data visualization"",""statistical analysis"",""data analysis""],",2p Perfect Presentation,Senior Data Analyst,https://www.naukrigulf.com/senior-data-analyst-jobs-in-riyadh-saudi-arabia-in-2p-perfect-presentation-7-to-8-years-n-cd-40001842-jid-250724500095,2024-07-26,DATA ENGINEER,2,26,7,2024,,7-8,,"['accuracy', 'analysis', 'communication', 'insight', 'integrity', 'presentation skills', 'problem-solving', 'responsible']","['data analysis', 'data modeling', 'data pipelines', 'data visualization', 'etl', 'extract', 'problem-solving skills', 'statistical analysis', 'transform']",['bachelor'],8
6,Posted on 11 Jul,Saudi Arabia,,"Job DescriptionRoles & ResponsibilitiesRole PurposeTo be responsible for leading enterprise efforts to establish, manage, operate and maintain an Analytics and business intelligence platform. Role is accountable for setting and realizing strategies for activating corporate and operational analytics use-cases through structured investment, development and operation of an engineering platform along with management of associated engineering professionals and resources to ingest, process, store, transform and expose curated data assets for analytics, reporting, business intelligence and data science workloads. Within the set KPIs, agreed budgets and adopted policies and procedures.Knowledge and Experience• Minimum 6 years of experience in Data Management, Data analytics Computer engineering, Information technology or related field is required.• Data architecture experience.• Data engineering or software engineering experience• Familiarity with Analytics Tools and Frameworks• Familiarity with CI/CD pipelines and workflows.• Familiarity working with containerization platforms, such as Docker, EKS etc.• Databases/Storage knowledge incl. Experience in NoSQL based DB solutions.• Understanding of system design principles and the ability to design efficient and scalable platforms.• experience in wide variety of distributed systems and frameworks   such as Apache Spark, Kafka, Airflow, Kubernetes, Databricks, Snowflake and more.• Strong understanding of data modeling, warehousing, big data technologies, and cloud computing • Strong knowledge of popular IaaS and PaaS services for compute, storage, database, developer, analytics, networking, management tools, and security (GCP, AWS or Azure) incl. infrastructure as code (IaC)Education and Certifications• Bachelor s Degree in Computer Engineering, Data Science, Cybersecurity, Software Engineering, Information Technology  or equivalent is required.• Following certifications are considered a plus• Certifications in Project Management (PMP, Agile, Scrum) Key Accountability AreasKey ActivitiesProduct Management• Lead and scale a full stack engineering team to realize and operationalize the enterprise data analytics engineering platform end-to-end• creation of teams, tooling and processes required to operationalize the data analytics engineering platform• Develop and manage strategies for realizing analytics use-cases through the deployment of engineering and technology assets and resources• Own vision, strategy, and the end to end outcomes of the enterprise data analytics engineering platform• Own the end-to-end architecture of the data analytics engineering platform, ensuring its efficiency, cost-effectiveness, security, and governance.• Collaborate closely with other engineering units and stakeholders to design and build an optimal and cost-efficient data platform solution.• Manage cross-functional relationships with upstream and downstream data and infrastructure teams across the organization• Collaborate with cross-functional teams to align priorities and ensure seamless integration of platform components.• Take responsibility for the data analytics engineering platform's support availability and oversee budgetary concerns, including cloud and on-prem assets expenditure.• Drive efficient product development processes and continuous integration/continuous deployment (CICD) practices.• Oversee the Design and management of a data platform that can handle scale with strict demands for availability, latency and maintainability.• Troubleshoot and mange user-impacting production issues.• driver new technology and upgrade initiatives for uplifting or optimizing the data platform and its supporting back-end modules• Coach and develop careers for data platform engineering developers and staffers.• Attracts, retains, and develops talent to build a solid Engineering platform team• Manage workloads across teams and maintain third-party vendor relationships.• Works with vendors and partners for the successful implementation of critical tooling and platforms• Acts as a technical escalation point for the engineers and developers on the analytics departmentPeople Management• Actively participate in on-the-job training, mentoring and coaching of subordinates• Provide clear direction, prioritize tasks, assign and delegate responsibility and monitor the workflow• Promote a high-performance working environment embracing SANS s valuesPolicies, Processes and Procedures• Support in monitoring day-to-day activities to ensure compliance with stipulated policies and procedures • Contribute to the identification of opportunities for continuous improvement of systems and processes taking into account leading practices, changes in business environment, cost reduction and productivity improvement",Saudi Air Navigation Services - SANS,Corporate Analytics Platform Engineering Section Head,https://www.naukrigulf.com/corporate-analytics-platform-engineering-section-head-jobs-in-saudi-arabia-in-saudi-air-navigation-services-sans-6-to-10-years-n-cd-10005943-jid-120724500431,2024-07-26,DATA ENGINEER,2,26,7,2024,50,6-10,,"['coaching', 'design', 'initiative', 'organization', 'professional', 'responsibility', 'responsible']","['big data', 'business intelligence', 'cloud', 'cloud computing', 'containerization', 'data modeling', 'ml', 'monitoring', 'transform']",['bachelor'],13
7,Posted on 15 Jul,Saudi Arabia,,"Job DescriptionRoles & ResponsibilitiesRole PurposeTo be responsible for leading technical and business roles dedicated to developing and managing the value stream of analytics and data products across the enterprise Safety and Quality business units portfolios leading corporate efforts and strategies to produce, surface, and actionize data driven insights Within the set KPIs, agreed budgets and adopted policies and procedures.Knowledge and Experience• Minimum 6 years of experience in Data Analytics, Aviation, Safety, Engineering, business management or related fields is required.• Demonstrated track record for launching products or solutions that solve stakeholders problem and drive growth or improvements• Ability to communicate with engineers on technical aspects of product management• Must have good grasp of design principles for technology and data products• Capability to supervise a team of developers writing Queries, acquiring data from primary and secondary data sources.• Familiarity in multivariate statistics, including logistic regression modeling, to business problems.• Familiarity in data mining and statistical tech stack for data science projects and developing bespoke modeling solutions • Familiarity for managing workstreams relevant to data engineering and business intelligence tooling/solutions for SaaS services such as Azure, AWS, AWS Redshift, Google, Oracle, Informatica, Snowflake, HDFS and DatabricksEducation and Certifications• Bachelor s Degree in Computer Engineering, Data Science, Information Technology, Aviation, Safety Engineering, Business management or equivalent is required.Key Accountability AreasKey ActivitiesProduct Management• Conducting discovery meetings to collect, analyze, clarify and document business requirements for analytics, reporting and business intelligence products • Establish and monitor value metrics encompassing the full cycle of envisaged and developed analytics products • Continuously identify opportunities for analytics, reporting and business intelligence solutions where value can be added to the business domain.• Manage advanced analytics workload including A/B and multivariate experiments, design and implement exploratory analysis and insight generation, all in close collaboration with partners across the Data team and business groups.• Oversee the analysis of corporate and operational Safety and Quality workstreams to provide periodic descriptive reporting and on-demand Diagnosis on key observed patterns for decision making purposes.• lead the development efforts for provision of descriptive, predictive and diagnostic analysis for relevant constituencies.• Develop strategy and roadmap for Safety data product while ensuring that defined path is consistent with the enterprise vision.• Lead iterative analytics product development process from idealization, through the implementation stage and all the way to the launch.• Develop plans for analytics features/services delivery defining business goals, timelines, and roadmaps.• Identify and prioritize stakeholders needs, opportunities, and translate them into clear and actionable data product requirements and specifications• Define and track key performance indicators and success metrics for the supervised data products and provide feedback to inform data product decisions and iterations.• Work with key company operational departments and corporate planning functions to support in visualizing various performance areas and derive actionable insights.• Assists users at all levels within the company on how to leverage the business intelligence platform capabilities for accurate reporting and analysis.• Partner with business functions leads to proactively explore and overcome business problems through quantitative analytics levering established enterprise business intelligence and analytics solutions.• Develop quantitative insights and recommendations to support long-term financial and strategic decisions.• Support corporate planning and strategy functions in researching and analyzing industry Safety related trends and developing market diligence periodically through quantitative reports and aggregation of relevant data from premium online/offline sources.Engineering Management• Participate in planning and executing workload related to deploying and expanding enterprise analytics hosting platforms at the back-end and front-end service layers• Lead the deployment and configuration of developed analytics solutions.• Oversee the analytics development workload cadence includes establishment of and sustenance of devOPS and CICD practices and cadence.• Develop, manage, and maintain engineering plans related to analytics workload; work closely with enterprise and operations engineering teams.• Participate in corporate planning interfaces tasked to design and standardize analytics processes and tools across all organizational functions.• Supports in the definition of the business intelligence standards used by reporting and analytics teams across the company.• Support Engineering and IT teams in the provision of analytics solutions by assisting in requirements gathering and building and testing solutions.• Participate in company established data governance committees to reconcile data inconsistencies and ensure data integrity and data management policies are in place and updated regularly.• Lead a team of developers and engineers to develop BI solutions, data analytics and data science products including integration with data marts, data warehouses, data lakes, storage blobs, RDS nodes etc.• Review advanced modelling, analytics and business intelligence tools to provide actionable insights and resolve assigned business/operational problems • Own the development of self-service data exploration environments curated to varying levels at the company leadership organizational layers.People Management• Actively participate in on-the-job training, mentoring and coaching of subordinates• Provide clear direction, prioritize tasks, assign and delegate responsibility and monitor the workflow• Promote a high-performance working environment embracing SANS s valuesPolicies, Processes and Procedures• Support in monitoring day-to-day activities to ensure compliance with stipulated policies and procedures • Contribute to the identification of opportunities for continuous improvement of systems and processes taking into account leading practices, changes in business environment, cost reduction and productivity improvement",Saudi Air Navigation Services - SANS,Safety Analytics Section Head,https://www.naukrigulf.com/safety-analytics-section-head-jobs-in-saudi-arabia-in-saudi-air-navigation-services-sans-6-to-7-years-n-cd-10005943-jid-160724500444,2024-07-26,DATA ENGINEER,2,26,7,2024,46,6-7,,"['analysis', 'coaching', 'collaboration', 'decision making', 'design', 'insight', 'integrity', 'leadership', 'organization', 'planning', 'research', 'responsibility', 'responsible']","['business intelligence', 'data governance', 'data mining', 'metrics', 'monitoring', 'statistics']",['bachelor'],8
9,Posted on 3 Jul,Riyadh,,"Job DescriptionRoles & ResponsibilitiesWe are seeking a seasoned and analytical Senior Data Analyst to join our team. The Senior Data Analyst will play a key role in extracting insights from complex datasets, providing actionable recommendations, and contributing to data-driven decision-making. The ideal candidate should have extensive experience in data analysis, and statistical modeling, and a strong proficiency in data visualization tools. If you are a strategic thinker with a passion for transforming raw data into valuable business insights, we invite you to apply and be a part of our data-driven success.Key Responsibilities:Analyze large and complex datasets to derive meaningful insights.Interpret data trends, patterns, and anomalies to inform business strategies.Develop and implement statistical models to predict trends and outcomes.Conduct hypothesis testing and regression analysis to support decision-making.Create compelling and informative visualizations to communicate insights effectively.Utilize data visualization tools to present findings to both technical and non-technical stakeholders.Collaborate with cross-functional teams to understand business requirements.Provide actionable insights and recommendations to drive business performance.Ensure the accuracy and integrity of data through rigorous quality assurance processes.Identify and rectify data discrepancies or errors.Define and track key performance indicators (KPIs) to measure the impact of data-driven initiatives.Prepare regular reports for management and stakeholders.Collaborate with data engineers, business analysts, and other teams to gather and analyze data.Communicate complex data findings to both technical and non-technical audiences.Qualifications:Bachelor s or Master s degree in Data Science, Statistics, Computer Science, or a related field.+5 years experience as a Senior Data Analyst with a focus on statistical analysis and data modeling.Proficiency in programming languages such as Python or R.Advanced skills in data visualization tools (e.g., Tableau, Power BI).Strong knowledge of database management systems and SQL.Job Info:Job Category: Data Administration & ManagementJob Level: SeniorSet Alerts for similar jobs",Client of imploy,Senior Data Analyst,https://www.naukrigulf.com/senior-data-analyst-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-5-to-7-years-n-cd-50000292-jid-040724501183,2024-07-26,DATA ENGINEER,2,26,7,2024,58,5-7,,"['accuracy', 'analysis', 'decision-making', 'focus', 'initiative', 'insight', 'integrity', 'passion']","['data analysis', 'data modeling', 'data visualization', 'extract', 'statistical analysis', 'transform']",['bachelor'],6
10,Posted on 3 Jul,Riyadh,,"Job DescriptionRoles & ResponsibilitiesWe are seeking a passionate and analytical Business Data Analyst to join our dynamic team. In this role, you will play a crucial part in transforming data into actionable insights that drive strategic decision-making across the organization. You will partner with various stakeholders to understand business needs, gather and analyze data, and communicate your findings effectively to inform better business practices.Responsibilities:• Define and analyze business problems and opportunities using data-driven approaches• Gather data from various sources, including internal databases, external market research, and customer surveys• Clean, prepare, and transform data for analysis using SQL and other data manipulation tools• Conduct statistical analysis and build data models to identify trends, patterns, and correlations• Create compelling data visualizations and reports to communicate insights clearly and concisely• Present findings and recommendations to stakeholders across different business units• Monitor key performance indicators (KPIs) and track progress towards business goals• Collaborate with IT and data engineering teams to access and manage data sources• Stay up-to-date on emerging data analytics trends and technologiesRequired skills and experience:• Bachelor's degree in Business Analytics, Data Science, Statistics, or a related field• 2+ years of experience in a business-oriented data analysis role• Strong analytical and problem-solving skills• Proficient in SQL and data visualization tools (e.g., Tableau, Power BI)• Excellent communication and presentation skills• Ability to work independently and as part of a team• Business acumen and understanding of relevant industry trendsPreferred skills and experience:• Experience with statistical modeling and machine learning techniques• Experience with data warehousing and data governance best practices• Experience working with specific industry data sets• Programming skills (e.g., Python, R)• Project management experienceBenefits:• Competitive salary and benefits package• Opportunity to work on impactful projects that drive business growth• Collaborative and supportive work environment• Continuous learning and development opportunitiesJob Info:Job Category: Data Administration & ManagementJob Level: SeniorSet Alerts for similar jobs",Client of imploy,Business Data Analyst,https://www.naukrigulf.com/business-data-analyst-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-2-to-6-years-n-cd-50000292-jid-040724501741,2024-07-26,DATA ENGINEER,2,26,7,2024,58,2-6,,"['analysis', 'communication', 'decision-making', 'insight', 'organization', 'passion', 'presentation skills', 'problem-solving', 'research']","['data analysis', 'data governance', 'data manipulation', 'data visualization', 'data warehousing', 'machine learning', 'problem-solving skills', 'statistical analysis', 'transform']",['bachelor'],8
12,Posted 30+ days ago,Riyadh,,"Job DescriptionRoles & Responsibilities- Bachelor s Degree in Electrical Engineering, Mechanical Engineering or relevant discipline preferred- Relevant work experience as a people manager in Data Center or another mission-critical environment, with understanding of mission critical systems (Data Centers, Hospitals, Power plants, military facilities, etc.).- In depth knowledge of critical facility (electrical and mechanical) equipment such as generators, chillers, cooling towers, air handling units, UPS and DRUPS, electrical sub distribution systems, fire detection and suppression systems, cable reticulation system- Experience managing vendor relationships- Must be a Saudi Arabian/GCC national AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain   and we re looking for talented people who want to help.You ll join a diverse team of software, hardware, and network engineers, supply chain specialists, security experts, operations managers, and other vital roles. You ll collaborate with people across AWS to help us deliver the highest standards for safety and security while providing seemingly infinite capacity at the lowest possible cost for our customers. And you ll experience an inclusive culture that welcomes bold ideas and empowers you to own them to completion.As Data Center Facility Manager, you will be responsible for engineering operations and maintenance across the Amazon availability zone. You will lead a team of engineers responsible for the 100% availability of mechanical and electrical services, including risk management and mitigation, corrective and preventative maintenance of critical infrastructure, vendor management and metrics reporting.Key job responsibilities- Oversees the build out of Facility-specific infrastructure in existing locations.- Responsible for the onsite management of shift technicians, senior shift technicians, sub-contractors and vendors, ensuring that all work performed is in accordance with AWS practices and procedures.- Has primary responsibility for engineering systems availability - Conducts financial analysis and contributes to financial decisions.- Managing and developing teams of engineers, providing both technical and leadership expertise and ensuring highest levels of performance.- Negotiates and rolls out contracts and defines and audits SLAs.- Will conduct Project Management for multiple sites.- Draws from a deep group or department level understanding to make business decisions.- Uses business knowledge to set priorities and develop project plans.- Work with IT managers and other business leaders to coordinate projects, manage capacity, and optimize plant safety, performance, reliability and efficiency.- Operate and manage both routine and emergency services on a variety of critical systems such as: switchgear, generators, UPS systems, power distribution equipmentAbout the teamDiverse ExperiencesAWS values diverse experiences. Even if you do not meet all of the preferred qualifications and skills listed in the job description, we encourage candidates to apply. If your career is just starting, hasn t followed a traditional path, or includes alternative experiences, don t let it stop you from applying.Why AWS?Amazon Web Services (AWS) is the world s most comprehensive and broadly adopted cloud platform. We pioneered cloud computing and never stopped innovating   that s why customers from the most successful startups to Global 500 companies trust our robust suite of products and services to power their businesses.Inclusive Team CultureHere at AWS, it s in our nature to learn and be curious. Our employee-led affinity groups foster a culture of inclusion that empower us to be proud of our differences. Ongoing events and learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences, inspire us to never stop embracing our uniqueness.Mentorship & Career GrowthWe re continuously raising our performance bar as we strive to become Earth s Best Employer. That s why you ll find endless knowledge-sharing, mentorship and other career-advancing resources here to help you develop into a better-rounded professional.Work/Life BalanceWe value work-life harmony. Achieving success at work should never come at the expense of sacrifices at home, which is why we strive for flexibility as part of our working culture. When we feel supported in the workplace and at home, there s nothing we can t achieve in the cloud.We are open to hiring candidates to work out of one of the following locations:Riyadh, SAU",AWS EMEA SARL (Saudi Arabia Branch) - H11,Data Centre Engineering Facility Manager,https://www.naukrigulf.com/data-centre-engineering-facility-manager-jobs-in-riyadh-saudi-arabia-in-aws-emea-sarl-h11-2-to-4-years-n-cd-10002542-jid-200624500686,2024-07-26,DATA ENGINEER,2,26,7,2024,30,2-4,,"['analysis', 'design', 'discipline', 'flexibility', 'innovation', 'leadership', 'mentorship', 'planning', 'professional', 'responsibility', 'responsible']","['cloud', 'cloud computing', 'metrics']",[],1
13,Posted 3 days ago,Al Madina Al Munawarah,,"Job DescriptionRoles & ResponsibilitiesJob Description:Parsons is looking for an amazingly talented Senior Data Analyst (Engineering) to join our team! In this role you will get to design, develop, and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality of the Engineering Dept(ED) processes and procedure. He will carry out professional data analysis and set up automated reports that reflect and interpret the Design Management Operations with ED.What You'll Be Doing: Design, develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality of the Engineering Dept (ED) processes and procedure. Interpret Design Management data, analyze results using statistical techniques and provide ongoing reports and dashboards. Acquire data from primary or secondary data sources and maintain databases/data systems. Identify, analyze, and interpret trends or patterns in complex data sets. Locate and define new process improvement opportunities. Working closely with respective SME's to gather, maintain and analyze data and set up automated reports. Collect and analyze quantitative and qualitative data. Apply testing and statistical analysis to Engineering Department and Engineering Projects data. Assist respective SME's to make predictions and recommendations based on collected and analyzed information. The respective SME's will provide details and raw data, the candidate will need to perform the analytical processes and the automated reports. Assist respective SME's to compose Technical memoranda, reports and presentations. Prepare PowerPoint presentations including creating charts and tables etc.What Required Skills You'll Bring: A Bachelor's degree or equivalent in computer science, statistics, mathematics, or related technical or scientific field; or a related subject. Minimum of 8 years' of experience in a similar position. Familiarity with data mining, ability to develop and manipulate, and maintain databases e.g SQL, Oracle etc. Demonstrated experience using software packages used for advanced statistical analysis of operational data and tools for data visualization. Ability to develop mathematical algorithms and applications in response to analytical/reporting requirements. Ability to identify systems enhancements and new capabilities, concept demonstrators, capability business cases. Experience using Python for data analysis, automation, or scripting Ability to provide training as new systems and capabilities move into operational use. Good verbal, written, and interpersonal communication skills. Ability to work effectively, as well as independently, in a team environment. Energetic self-starter who is flexible, organized, conscientious and proactive.What Desired Skills You'll Bring: Ability to provide training as new systems and capabilities move into operational use. Good verbal, written, and interpersonal communication skills.",Parsons Corporation,Senior Data Analyst - Engineering,https://www.naukrigulf.com/senior-data-analyst-engineering-jobs-in-al-madina-al-munawarah-saudi-arabia-in-parsons-corporation-8-to-10-years-n-cd-10003462-jid-230724500412,2024-07-26,DATA ENGINEER,2,26,7,2024,3,8-10,,"['analysis', 'communication', 'communication skills', 'design', 'professional']","['data analysis', 'data mining', 'data visualization', 'mathematics', 'scripting', 'statistical analysis', 'statistics']",['bachelor'],6
15,Posted on 3 Jul,Riyadh,,"Job DescriptionRoles & ResponsibilitiesWe are seeking a talented and experienced ArtificialIntelligence (AI) Engineer to join our innovative team. The AI Engineer willplay a key role in designing, developing, and implementing AI solutions toaddress complex business challenges. The ideal candidate should have a strongbackground in machine learning, deep learning, and natural language processingand a passion for staying abreast of the latest advancements in AItechnologies. If you are a creative problem solver with expertise in AI, weinvite you to apply for this exciting opportunity.Key Responsibilities:• Designand develop machine learning algorithms and models. • Implementand optimize algorithms for scalability and efficiency. • Pre-process,clean, and analyze large datasets for model training. • Collaboratewith data engineers to ensure data availability and quality. • Train,validate, and fine-tune machine learning models. • Evaluatemodel performance and make improvements as needed. • ImplementNLP techniques for text analysis and language understanding. • Developsolutions for sentiment analysis, language translation, etc. • Applydeep learning methodologies to solve complex problems. • Workon neural network architectures for image recognition, speechrecognition, etc. • Collaboratewith cross-functional teams to understand business requirements. • Providetechnical expertise and support to project teams. • Stayupdated on the latest trends and advancements in AI and machine learning. • Integratenew technologies to enhance existing AI solutions. Qualifications:• Minimumof 5 years of experience in artificial intelligence or machine learningroles. • Master'sor Ph.D. in Computer Science, Artificial Intelligence, or a related field. Skills and Competencies:• Proficiencyin programming languages such as Python, Java, or C++. • Strongknowledge of machine learning frameworks (TensorFlow, PyTorch). • Experiencewith natural language processing and deep learning. • Problem-solvingand critical-thinking skills. Job Info:Job Category: GeneralJob Level: SeniorSet Alerts for similar jobs",Client of imploy,Artificial Intelligence Engineer,https://www.naukrigulf.com/artificial-intelligence-engineer-jobs-in-riyadh-saudi-arabia-in-client-of-imploy-5-to-9-years-n-cd-50000292-jid-040724501707,2024-07-26,DATA ENGINEER,2,26,7,2024,58,5-9,,"['analysis', 'design', 'passion']","['deep learning', 'machine learning', 'natural language processing']",[],2
