key,Industry Skills,Month,Job Role
a2eb9638680ab4c5,scripting,3,DATA ANALYST
a2eb9638680ab4c5,etl,3,DATA ANALYST
a2eb9638680ab4c5,data analysis,3,DATA ANALYST
18914b48db5cd12c,business intelligence,3,DATA ANALYST
506a2639bb2bf06b,problem-solving skills,3,DATA ANALYST
506a2639bb2bf06b,metrics,3,DATA ANALYST
506a2639bb2bf06b,machine learning,3,DATA ANALYST
df68faa65a4af135,statistics,3,DATA ANALYST
df68faa65a4af135,mathematics,3,DATA ANALYST
c4facbaf25c4d315,data warehousing,3,DATA ANALYST
c4facbaf25c4d315,etl,3,DATA ANALYST
c4facbaf25c4d315,data visualization,3,DATA ANALYST
c4facbaf25c4d315,data mining,3,DATA ANALYST
ce1a74a064ee1406,etl,3,DATA ANALYST
f5965dca49a9757e,business intelligence,3,DATA ANALYST
83e46ef6c6f546b4,,3,DATA ANALYST
468d9ea47546a87c,project management,3,DATA ANALYST
468d9ea47546a87c,data visualization,3,DATA ANALYST
468d9ea47546a87c,statistical analysis,3,DATA ANALYST
4b321c3e947d1d19,data analysis,3,DATA ANALYST
4b321c3e947d1d19,etl,3,DATA ANALYST
4b321c3e947d1d19,etl,3,DATA ANALYST
4b321c3e947d1d19,database design,3,DATA ANALYST
4b321c3e947d1d19,data mining,3,DATA ANALYST
a193a5a2c8f4f85b,data modeling,3,DATA ANALYST
b5cceea4d6b1f82c,,3,DATA ANALYST
73001591d8b5cba1,data pipelines,3,DATA ANALYST
73001591d8b5cba1,etl,3,DATA ANALYST
73001591d8b5cba1,data governance,3,DATA ANALYST
73001591d8b5cba1,data integration,3,DATA ANALYST
73001591d8b5cba1,etl,3,DATA ANALYST
73001591d8b5cba1,data security,3,DATA ANALYST
73001591d8b5cba1,data modeling,3,DATA ANALYST
4801390b320d585e,monitoring,3,DATA ANALYST
4801390b320d585e,business intelligence,3,DATA ANALYST
bdb57a8c70b6248e,data visualization,3,DATA ANALYST
bdb57a8c70b6248e,data analysis,3,DATA ANALYST
bdb57a8c70b6248e,report generation,3,DATA ANALYST
bdb57a8c70b6248e,etl,3,DATA ANALYST
bdb57a8c70b6248e,data integration,3,DATA ANALYST
bdb57a8c70b6248e,problem-solving skills,3,DATA ANALYST
bdb57a8c70b6248e,machine learning,3,DATA ANALYST
bdb57a8c70b6248e,data modeling,3,DATA ANALYST
17ecc7d0bf39feed,data mining,3,DATA ANALYST
17ecc7d0bf39feed,metrics,3,DATA ANALYST
17ecc7d0bf39feed,monitoring,3,DATA ANALYST
17ecc7d0bf39feed,business intelligence,3,DATA ANALYST
c68b1e9fd73e9dd7,data analysis,3,DATA ANALYST
c68b1e9fd73e9dd7,data visualization,3,DATA ANALYST
c68b1e9fd73e9dd7,data architecture,3,DATA ANALYST
c68b1e9fd73e9dd7,etl,3,DATA ANALYST
c68b1e9fd73e9dd7,data governance,3,DATA ANALYST
c68b1e9fd73e9dd7,big data,3,DATA ANALYST
