name,key,title,location
AL ITTEFAQ STEEL PRODUCTS CO.,1774f0f6f876c6a1,"Senior Officer, Stores",Dammam
APC Oilfield Services,4c2d7795d62cc606,Cased Hole Log Analyst,Saudi Arabia
"ARABIC COMPUTER SYSTEM, RIYADH SAUDI",1a65d7118c24fa1c,MUREX DEVELOPER,Saudi Arabia
Accenture,b385190560840a35,"Business Strategy Manager, Health & Public Sector",Riyadh
Accenture,ebdeccd023acea55,Security Delivery Analyst,Riyadh
Afaq Q Tech General Trading,453a16a912a401cc,"Head of Marketplace Strategy - KSA, (KSA National), MENA Marketplace",Riyadh
Afaq Q Tech General Trading,553538134bb41c53,2025 Business Analyst Intern,Riyadh
Afaq Q Tech General Trading,9192accd3767c15a,2025 Financial Analyst Intern,Riyadh
Air Products,61bba22b1cd10e12,Data Specialist,Jizan
Air Products,b1ad39de3012237c,SAP SF Business Analyst,Jizan
"Akima, LLC",a93cce32858de542,CH-47F Quality Control Inspector,Tabuk
Al Awael Modern Contracting Company,5b829f050d4ec37f,Financial Analyst,Al Khobar
AlBorg Diagnostics,dfe6448696e15c7b,ERP Functional Lead,Jeddah
AlMosafer,b71e42a4a50e30b0,Data Intelligence Analyst – Officer/Senior Officer,Riyadh
Alfaisal University,4cd77820ebbc9269,DevOps Engineer,Riyadh
Araamis,fd5079fd2bc96590,Business Analyst,Riyadh
Araamis,2877c706d2bb46fb,Business Analyst,Riyadh
Arabic Computer Systems,14ea635bd4b815e8,quality lead,Riyadh
Arabic Computer Systems,f6bed5737716d459,Full Stack Developer,Riyadh
Arabic Computer Systems,e23fb610fec111d9,System Analyst,Al Majma
Arabic Computer Systems,7feb9daf89026034,GIS Engineer ( Multiply position ),Medina
Arabic Computer Systems,f8a5e282b620ed7f,Senior Database Developer and Administrator,Riyadh
Arabic Computer Systems,8790ffc7c8d3c2fc,Data Scientist,Riyadh
Arthur D. Little Austria,27d66ceccf2c64ca,Business Analyst - Riyadh,Riyadh
BD,289d59e8bed80c46,Business Analyst - Commercial and Distributor Excellence - MENAT,Riyadh
BEC Arabia,1e899cd25dc9728d,Financial Analyst,Riyadh
BLS International,7fded57b75b915bb,Data Analyst- MIS,Riyadh
Big Fish Recruitment,c735bd7504415ef3,Head of Information Technology - Facilities Management,Jeddah
Big Fish Recruitment,79a05938859704bb,Head of IT - Facilities Management,Jeddah
Bilytica,31dc55f690142c72,Senior Data Analyst,Riyadh
Black Pearl,2144ed59dc31dfbf,Financial Analyst - Clinical Costing,Dammam
Boston Consulting Group,da05e3994a387092,Senior Analyst - Customer Insights & Analytics,Riyadh
Boston Consulting Group,605d2d18950eea32,Senior Knowledge Analyst - Large Capital Projects,Riyadh
Boston Consulting Group,0ff22ac525631ac5,Senior Knowledge Analyst - Large Scale Transformation projects,Riyadh
Boston Scientific Corporation,72c2b87729cb6382,"Tender and Quote Specialist, KSA",Riyadh
Buro Happold,ff60a6efe64ffa5b,Graduate Asset Management,Riyadh
Buro Happold,93330a04a2004220,Graduate - Advisory,Riyadh
CBRE,6cdc6a383b07f991,Analyst - Research,Riyadh
Chalhoub Group,260acdd5929a1fde,Data Analyst Trainee - Jeddah ( Tamheer Program),Jeddah
China State Construction Engineering Corporation South Asia (CSCEC SA),fc125308286f3c50,Senior Risk Analyst,Riyadh
Comspark Innov & Infra,5ee7607c3b1063e2,Data Architect,Riyadh
DSV,9ded593e2276505b,Senior Logistics Engineer,Tabuk
Dar Al Riyadh,ee8ab1b5cf804360,Data Analyst,Riyadh
Deloitte,ab69ce57777855a0,Senior | Data Analytics | Audit & Assurance | Riyadh,Riyadh
Deutsche Bank,6dcc0ebcb64910f4,"Private Bank - Relationship Manager, Saudi Onshore DSSA",Riyadh
Devoteam,825842b91fba86fd,Business Data Analyst,Riyadh
Devoteam Middle East,29680fe9c930b677,Business Data Analyst,Riyadh
EY,77b649c4afc91c01,Manager Transfer Pricing - ITTS - KSA - Al Khobar,Al Khobar
EY,35fc8ea52ae51e7a,"Manager, Digital, Data and AI, FAAS, Riyadh",Riyadh
EY,632a26adeccab4f2,Analyst Project Finance and Infrastructure Advisory- KSA,Riyadh
Edelman,fa3176ab98d052c8,Sr Finance/ Finance Analyst (Arabic Speaker),Riyadh
Enstoa,19201200ed48e02c,Project Controls Analyst,Riyadh
Excrin Think Labs,985d0ddc75ae4bf5,Full Stack Developer,Saudi Arabia
Frost & Sullivan,807da110eaec4f1d,"Arabic Speaking Analyst (12 months contract) Lebanon, Jordan, Morocco, Saudi Arabia",Riyadh
Fugro,fb6843c287a9b02d,Engineering Data Analyst,Dammam
Fugro,d8959933632ee050,Digital Transformation Specialist,Dammam
Fugro,a7d138a63b4c5480,GIS Analyst,Dammam
Gathern,f555015758ec5700,Product Analyst,Riyadh
Gathern,5543c3acb8065e04,Data Engineer,Riyadh
Gathern,56b92d8f0523551a,Data Analyst,Riyadh
Giza Systems,8458a1b76961b086,Senior Business Intelligence Engineer,Riyadh
Giza Systems EG,34b00539094b494a,Business Intelligence Engineer,Riyadh
Giza Systems EG,6c4eb696e4c81e33,Data Engineer,Riyadh
Giza Systems EG,3af1de517a1bc7b7,Senior Business Intelligence Engineer,Riyadh
Giza Systems EG,269dec123ed9204b,Senior Data Engineer,Riyadh
Giza Systems EG,a816bd51b9ea6a60,Business Analyst,Riyadh
Giza Systems EG,e861df390e6addbb,Sr Business Analyst,Riyadh
Globant,bbcaba38eb88ff69,"Data Scientist, Sr Level 3 - KSA",Riyadh
Golf Saudi,163447af69d2a892,Project Manager (Data Analysis),Riyadh
