Company ID,Company Name,Name from URL,People Name,Linkedin Profile,Job Title,Job Category,Departments
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Chad Lewkowski,https://www.linkedin.com/in/chad-lewkowski-720b789,Business Management,"['l_100_individual', 'l_500_exec']",['management']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Emma Clark,https://www.linkedin.com/in/emmadonaho,Chief Operating Officer,"['l_100_individual', 'l_500_exec']",['operations']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Jaron Jones,https://www.linkedin.com/in/jaronjones,Information Technology,"['l_100_individual', 'l_500_exec']","['finance', 'information_technology']"
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Jesse Randall,https://www.linkedin.com/in/sweaterceo,Founder & CEO,['l_500_exec'],['management']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Jesse Randall,https://www.linkedin.com/in/deviantstrat,Business Management,"['l_100_individual', 'l_500_exec']",['management']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Matthew Klein,https://www.linkedin.com/in/matthew-klein-22216558,Co-Founder,['l_500_exec'],['management']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Jeffrey Risenmay,https://www.linkedin.com/in/jeffrisenmay,Head of Finance,['l_400_vp'],['finance']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Cash Allred,https://www.linkedin.com/in/cash-allred,Principal,['l_300_director'],['management']
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Michael Russ,https://www.linkedin.com/in/michael-russ-4061a998,Marketing and Product,['l_300_director'],
43675e18-a9c9-4156-acbc-065b36676d90,Sweater,sweater,Vanessa Berrios Klimkowski,https://www.linkedin.com/in/vanessa-berrios-klimkowski-6229636,Marketing and Product,['l_300_director'],
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,John Beddingfield,https://www.linkedin.com/in/john-beddingfield-6480b64,President - North America,['l_500_exec'],['management']
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Maarten Joye,https://www.linkedin.com/in/maartenjoye,Chief People Officer,['l_500_exec'],['management']
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Steven Daem,https://www.linkedin.com/in/steven-daem-612798a7,Chief Financial Officer,"['l_100_individual', 'l_500_exec']","['finance', 'operations']"
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Christoph Vancompernolle,https://www.linkedin.com/in/christophvancompernolle,Marketing and Product,"['l_100_individual', 'l_400_vp']",['operations']
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Fabienne Vanquickelberghe,https://www.linkedin.com/in/fabienne-vanquickelberghe-a0ba201,VP Operations Market Regulated Europe,['l_400_vp'],['management']
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Jon Jaffin,https://www.linkedin.com/in/jon-jaffin-4845a64,Vice President,['l_400_vp'],['management']
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Kimberly Williams,https://www.linkedin.com/in/kimberly-williams-50b80b25,"SVP, Business Strategy","['l_100_individual', 'l_400_vp']","['management', 'operations']"
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Koen Schampaert,https://www.linkedin.com/in/schampaertkoen,VP Operations & Professional Services,['l_400_vp'],['management']
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Kris Marlein,https://www.linkedin.com/in/krismarlein,Marketing and Product,"['l_100_individual', 'l_400_vp']","['management', 'operations']"
dc7b62e8-d060-7f7b-8c76-48e300a22476,Itineris,itineris,Bart Debels,https://www.linkedin.com/in/bart-debels-123a65,Corporate PMO Director,['l_300_director'],['management']
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,Jeff Wright,https://www.linkedin.com/in/jeffwrightconnect,Chief Executive Officer - US,"['l_100_individual', 'l_500_exec']",['management']
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,Daniel Roth,https://www.linkedin.com/in/danielrothinsuranceexec,Business Management,"['l_100_individual', 'l_400_vp']",['management']
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,Linda Ogilvie,https://www.linkedin.com/in/linda-ogilvie-11288611,"Vice President, Financial Markets, Client Services","['l_100_individual', 'l_400_vp']",['management']
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,Michael Cleary,https://www.linkedin.com/in/mcleary,"VP, Head of Data & Digital Platforms","['l_100_individual', 'l_400_vp']","['information_technology', 'management']"
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,Pam Dufour,https://www.linkedin.com/in/pam-dufour-54b6895,"SVP, Chief Services Officer, Mondial Assistance US",['l_400_vp'],['sales']
7c0ccf2a-788f-43a3-9e57-8af6f88a278b,Allianz Partners,allianz-partners,Pascal Dermesropian,https://www.linkedin.com/in/pascaldermesropian,Marketing and Product,"['l_100_individual', 'l_400_vp']",['marketing']
