posted,Experience,location,jobType,Education,description,name,title,feed
Posted on 21 Aug,2 - 8 Years,Other,Full Time,"Bachelor of Technology/Engineering(Electrical, Mechanical)","Job DescriptionRoles & ResponsibilitiesRCM Program Management: Lead the development and implementation of the  organization's RCM program. Establish RCM processes, procedures, and guidelines.  Coordinate with cross-functional teams to ensure the successful integration of RCM  practices across the organization Asset Criticality Analysis: Conduct comprehensive asset criticality analyses to identify and  prioritize the most critical equipment and systems within the organization. Develop and  maintain asset registers, failure modes and eƯects analyses (FMEA), and risk-based  maintenance strategies.  Reliability Engineering: Apply advanced reliability engineering techniques, including  Weibull analysis, root cause analysis, and statistical process control, to assess equipment  performance, identify failure modes, and recommend appropriate maintenance strategies. Maintenance Strategy Development: Collaborate with maintenance, operations, and  engineering teams to develop and implement tailored maintenance strategies for critical  assets. Utilize RCM principles to determine the optimal maintenance tasks, intervals, and  tactics for each asset.  Predictive and Condition-Based Maintenance: Oversee the implementation and  optimization of predictive and condition-based maintenance technologies, such as  vibration analysis, thermography, and oil analysis.Analyze data collected from these  technologies to predict and prevent equipment failures.  Maintenance Optimization: Continuously monitor and analyze maintenance data to  identify opportunities for optimization. Implement process improvements, such as  preventive maintenance task optimization, spare parts management, and resource  allocation, to enhance maintenance eƯiciency and eƯectiveness. Project Management: Lead and manage RCM-related projects, from planning to  implementation and evaluation. Develop project plans, allocate resources, monitor  progress, and ensure timely and successful project delivery.  Training and Knowledge Sharing: Provide training and mentorship to maintenance,  operations, and engineering personnel on RCM principles, methodologies, and best  practices. Collaborate with stakeholders to capture and share institutional knowledge  related to asset management.Continuous Improvement: Continuously seek opportunities to improve the organization's  RCM program. Benchmark against industry standards, implement best practices, and  leverage emerging technologies to enhance the reliability and performance of critical  assets.  Reporting and Analytics: Develop and maintain comprehensive reporting and analytical  capabilities to track the performance of the RCM program. Provide management with  actionable insights, recommendations, and performance metrics to support decision making.",Jaddarah Workforce Company,Engineer - Reliability-Centered Maintenance (RCM) III,https://www.naukrigulf.com/engineer-reliability-centered-maintenance-iii-jobs-in-saudi-arabia-in-jaddarah-workforce-company-2-to-8-years-n-cd-90171-jid-220824000074
Posted 30+ days ago,17 - 20 Years,Riyadh,Full Time,"Diploma(Survey Engineering), Bachelor of Business Administration","Job DescriptionRoles & ResponsibilitiesPrepare the Baseline Schedule for the Program.Prepare the planning & scheduling procedure for the Program.Assist in the implementation of the Project Execution PlanAssist in the preparation and management of overview and strategic programs, including design, procurement and construction schedules together with supporting information required schedulesLaise in preparing the monthly project progress.Review the schedules and related documents from the stakeholders, such as, design consultant, contractors, vendors, including monthly reports and analyze the content to ensure compliance with project objectives.Review schedule trends to identify problem areas and recommend corrective action to management. Monitor actual progress against planned progress.Monitor engineering design progress, material and equipment procurement and construction and commissioning status.Carry out studies into scheduling, manning and material flow as needed.Review schedules for slippage of key dates.Ensuring that each Scheduling Engineer runs his section to the highest professional standards, that all information is current, and that every member of the team is receiving the information he or she needs to fulfil their responsibilities.Establish and maintain consistent and adequate administration procedures, in their field. These procedures will be followed across the project by the respective planners working under the Construction Managers.Participate with the project management team, as directed by the Project Director, to achieve project deliverables.Issue high-level schedule weekly updates.Identify and report main issues interfering with progress.Informs themselves of the relevant Quality, Environmental, Safety and Occupational Health Policies, Manuals and Procedures within Hill International and ensures continued compliance with these requirements while employed by Hill.Perform other duties as assigned by the line manager/supervisor.",Hill International (Middle East) Ltd.,Planning Manager (E1-4),https://www.naukrigulf.com/planning-manager-jobs-in-riyadh-saudi-arabia-in-hill-international-ltd-17-to-20-years-n-cd-49374-jid-040724000035
Employer ActivePosted 2 days ago,10 - 16 Years,Dammam/Khobar/Eastern Province,Full Time,Bachelor of Technology/Engineering,"Job DescriptionRoles & Responsibilities1.   Specification Engineer (Electrical) Engineering Degree 10 years No of Req: 42.   Specification Engineer (Civil) Engineering Degree 10 years No of Req:43.   Specification Engineer (Mechanical) Engineering Degree 10 years No of Req: 24.   Projects Engineer (Electrical) Engineering Degree 10 years No of Req: 25.   Contracts Engineer Engineering Degree 10 years No of Req: 26.   Operation Engineer/Manager Engineering Degree (Electrical) 10 years No of Req: 2For Operation Programs7.   Project Manager Engineering Degree (Electrical) 15 years No of Req: 2(PMP, PRINCE2) and the experience in related fields such as PMO8.   Data Analyst IT Degree 10 years No of Req: 2(AGILE, Microsoft apps (Power BI, EXCEL), Python, C#, HTML, CSS, JavaScript) and the experience in related fields9.   Application Developer IT Degree 10 years No of Req: 2(AGILE, Microsoft apps (Power BI, EXCEL), Python, C#, HTML, CSS, JavaScript) and the experience in related fields No of Req: 2Key RequirementsShall be from Engineering consultancy backgroundShall have very good understanding and hands on experience w.r.t SEC standardsShall have excellent communication & reporting skillsShall have knowledge on below1) Development & revision of Standards, Specifications, Technical Scope of Work, and Procedures.2) Different Operational Excellency and Reliability programs3) Different Techno-economic Studies4) Root Cause Analysis.5) Design & Engineering Reviews6) Conducting Work in QA/QC & Technical Audits.7) Conducting various engineering studies e.g. Feasibility, Fact-Finding, Surveys, Optimization and Improvements.8) Providing engineering support and solution to address Distribution Network System problems/challenges that arise in the field.Renewable ProjectsCorrosion Audit Expert – 01 No.Bachelor degree with Min 10 yrs experience in conducting QA/QC Audit for Power & Renewables projects which shall include substations, OHL lines, Power plants, Solar and Wind plants.ISO Lead Auditor certifiedKnowledge on SEC/Saudi Aramco/ International standards for substations, OHL lines, Power plants, Solar and Wind plantsTesting & Commissioning Manager – 01 No.Bachelor degree with Min 15 yrs experience in Testing & Commissioning for Power & Renewables projects which shall include substations, OHL lines, Power plants, Solar and Wind plants.Knowledge on SEC/Saudi Aramco/ International standards for substations, OHL lines, Power plants, Solar and Wind plants",Confidential Company,Urgent Requirement for SEC Project,https://www.naukrigulf.com/urgent-requirement-for-sec-project-jobs-in-dammam-khobar-eastern-province-saudi-arabia-in-confidential-10-to-16-years-n-jid-280824000010
Posted on 7 Aug,5 - 10 Years,Other,Full Time,Any Graduation,"Job DescriptionRoles & ResponsibilitiesAbout:Notions Group is a leading FMCG company headquartered in Dubai, specializing in innovative and high-quality confectionery and savory snacks. Star Foods, a subsidiary of Notions Group, is a Saudi-based savory snacks factory that manufactures a variety of chips, crisps, and other snacks.Job Overview:Developing and executing trade marketing strategies that drive sales growth for Notions Group's snacks products in KSA. The role involves working closely with the sales team to ensure the company's products are effectively promoted and distributed in the market.Key Responsibilities:Develop and execute trade marketing strategies for Notions Group's snacks products in KSA.Collaborate with the sales team to identify key customer and market opportunities and develop programs to drive sales.Work closely with the marketing team to create promotional and merchandising materials that drive sales and reinforce the brand.Monitor and analyze market trends, competitive activity, and consumer behavior in the KSA snacks market to identify opportunities and threats.Manage relationships with key trade partners, wholesalers, retailers, and distributors.Plan and execute trade shows and events that promote Notions Group's snacks products and increase brand awareness.Work with the operations team to ensure the supply chain and logistics align with trade marketing plans and objectives.Conduct regular store visits to ensure that promotions and merchandising materials are executed effectively and in line with the company's standards.Provide continuous market and competition reports that monitor promotions, campaigns, new products, advertising, in-store activities in the retail and wholesale landscape, and an updated price index. To make data-driven recommendations for the company's products and promotions.Develop and manage trade marketing budgets and optimize spending to maximize ROI.",Notions Global Trading Co. LLC,Trade Marketing Manager,https://www.naukrigulf.com/trade-marketing-manager-jobs-in-saudi-arabia-in-notions-global-trading-co-llc-5-to-10-years-n-cd-250262-jid-070824000122
Posted 30+ days ago,5 - 7 Years,Riyadh,,Bachelors in Computer Application(Computers),"Job DescriptionRoles & ResponsibilitiesResponsibilitiesUtilize SQL, Tableau, Google Sheets, and Excel to analyze data and generate insightful reports.Write and execute complex data queries to extract relevant information from various databases.Create compelling data visualizations to communicate findings to non-technical stakeholders.Work closely with other team members to understand their data needs and provide actionable insights.Demonstrate a high level of technical proficiency and continuously seek to improve your understanding of data analysis tools and techniques.Clearly articulate data findings and recommendations to diverse audiences, ensuring clarity and understanding.Requirements- Bachelor's degree in Computer Science, Data Science, Statistics, or a related field.- 5+ years of experience- Basic knowledge of SQL, Tableau, Google Sheets, and Excel.- Strong technical literacy and a passion for continuous learning in data analysis.- Ability to handle complex data queries and calculations with precision.- Bilingual proficiency (Arabic & English).- Excellent communication skills, both written and verbal.- Previous internship or project experience in data analysis is a plus but not required.",Noon Academy,Data Analyst,https://www.naukrigulf.com/data-analyst-jobs-in-riyadh-saudi-arabia-in-noon-academy-5-to-7-years-n-cd-10007898-jid-210524500016
Posted 30+ days ago,1 - 3 Years,Saudi Arabia,,Any Graduation(),"Job DescriptionRoles & Responsibilities Team GDC is seeking an AH-64/AH-6i Armament Weapons Repairman to support contracts with the Kingdom of Saudi Arabia. Functions as the Aviation Maintenance Quality Control/Quality Assurance, technical inspector under the direction of the Quality Control Manager. Technical Inspector / Inspector Authorization duties include sign-off of all red  X  and circle red  X  conditions pertaining to the aircraft systems, and aircraft components.  Technical inspector of all specific airframe, power-train, power-plant, armament, electrical and avionics systems. Determines requirement to conduct a Maintenance Test Flight (MTF) / Maintenance Operational Check (MOC), and provides inspection criteria interpretation to maintenance staff. Uses common measuring tools, precision measuring gages and alignment fixtures (GFE).  Assists the Customer in maintaining a current technical library and applicable aircraft forms and records. Assists the Customer Weight and Balance (W&B) technician to complete Weight and Balance records for all assigned aircraft and complete all appropriate Weight and Balance documentation according to Customer directives and applicable manuals. Functions as the site Quality Control Data Analyst, and the technical and compliance documentation administrator. Establishes the maintenance quality control processes, procedures, standards, measures and reports in support of the maintenance program for all maintenance support activities. Ensures that all related quality control procedures are conducted in a safe manner.   Develop training programs, schedule training and document training in an automated training management system. Provide training reports to the Division training officer as required. Conducts maintenance and technical inspector training as required and input OJT training data in learning management system database.  Performs quality technical inspection of aircraft, equipment, vehicles, aircraft components, parts, and systems (including avionics, electrical, instrument and armament) as required by functional assignment.  Performs quality and safety inspections of on-site equipment and tools used in aircraft maintenance, vehicles, and equipment  Performs in-progress and final quality technical inspections during maintenance, repair, modification, rework, and overhaul of aircraft, aircraft components, and component parts.  Inspects job procedural forms and maintenance forms used in the performance of aircraft maintenance, vehicle and equipment maintenance to assure compliance with approved methods and procedures.  Assists in preparation, processing, and answering of Quality Deficiency Reports (QDRs). Assists in aircraft accident investigations, prepares estimated cost of damage reports as required.  Establish the maintenance quality control processes, procedures, standards, measures, reports in support of the maintenance program and in coordination with Supply Chain Management (SCM) activities.  Directs inquires, investigations, and research analysis related to Quality control maintenance processes and supporting maintenance activities, to the maintenance manager.  Ensures all Quality control maintenance operations and related maintenance support activities are conducted in a safe manner.  Supports, in coordination with the Aviation manager, the Downed Aircraft Recovery Team (DART) process and procedure.  Conducts maintenance training and technical inspector training as required.  Other duties as assigned.  Possession of  the Federal Aviation Administration (FAA) Inspector Authorization (IA) certificate desired.  Experience as an AH-64E TI preferred. Experience training AH-64E TI's preferred.","S3, Inc.",AH64E Technical Inspector,https://www.naukrigulf.com/ah64e-technical-inspector-jobs-in-saudi-arabia-in-s3-inc-1-to-3-years-n-cd-10003285-jid-250624500893
Posted on 12 Aug,5 - 10 Years,Riyadh,,Any Graduation(),"Job DescriptionRoles & ResponsibilitiesJob Description:We are seeking an experienced and dynamic Project Manager to lead and oversee our surveying and geospatial projects. The ideal candidate will have a strong background in surveying technologies, project management, and client relations. This role involves managing projects from conception through completion, ensuring that they are delivered on time, within scope, and within budget.Key Responsibilities:• Project Management: Lead and manage surveying projects, including drone surveys, spatial analysis, and mobile mapping services, ensuring successful delivery according to client requirements.• Team Coordination: Oversee and coordinate with cross-functional teams, including surveyors, data analysts, and GIS specialists, to ensure project milestones are met.• Client Engagement: Act as the primary point of contact for clients, maintaining strong relationships and ensuring client satisfaction throughout the project lifecycle.• Technical Oversight :Provide technical guidance and oversight to ensure the accuracy and quality of surveying data and deliverables.• Budget & Resource Management: Develop and manage project budgets, allocate resources effectively, and ensure efficient use of company assets.• Compliance: Ensure all projects comply with industry standards, safety regulationsQualifications:• Bachelor s degree in Surveying, Geomatics, Geospatial Science• Minimum of 5 years of experience in project management, with a focus on surveying and geospatial services.• Proficiency in using surveying and GIS software (e.g., AutoCAD Civil 3D, ArcGIS, DroneDeploy).• Strong understanding of drone technology, mobile mapping, and spatial analysis techniques.• Excellent leadership, communication, and interpersonal skills.• PMP or other relevant project management certification is a plus.• Ability to manage multiple projects simultaneously and work under pressure.",Alqotr,Project Manager Surveying &amp Geospatial Services,https://www.naukrigulf.com/project-manager-surveying-amp-geospatial-services-jobs-in-riyadh-saudi-arabia-in-alqotr-5-to-10-years-n-cd-40001682-jid-130824501538
Employer ActivePosted Today,2 - 4 Years,Jeddah,,Bachelor of Science(Computers),"Job DescriptionRoles & ResponsibilitiesSalla, a leading e-commerce platform, is seeking a detail-oriented and highly motivated Data Quality Assurance Specialist to join our team. As a Data Quality Assurance Specialist, you will be responsible for ensuring the accuracy and integrity of our data, as well as implementing and maintaining data quality best practices. You will work closely with the data team to identify and resolve data quality issues, develop data quality metrics and reports, and provide recommendations for improvement. The ideal candidate has a strong attention to detail, excellent analytical skills, and a passion for maintaining high data quality standards. Responsibilities• Develop and implement data quality assurance strategies and processes.• Monitor and analyze data quality across various data sources and systems.• Identify and resolve data quality issues and inconsistencies.• Create and maintain data quality documentation and procedures.• Collaborate with data engineers and data analysts to improve data quality.• Develop and implement data validation and cleansing procedures.• Design and generate data quality reports and metrics.• Communicate data quality issues and recommendations to stakeholders.• Stay up-to-date with industry best practices and emerging trends in data quality assurance.",Salla,Data Quality Assurance Specialist,https://www.naukrigulf.com/data-quality-assurance-specialist-jobs-in-jeddah-saudi-arabia-in-salla-2-to-4-years-n-cd-10008634-jid-300824500387
Posted on 20 Aug,8 - 10 Years,Riyadh,,Bachelor of Business Administration(Management),"Job DescriptionRoles & ResponsibilitiesJob DescriptionGeneric Accountabilities:Strategic Contribution• Develop and ensure effective cascading of the strategy into department business plans to ensure vertical alignment and horizontal integration with other interfacing departmental strategies.• Drive the continuous achievement of quality and customer experience standards in line with the overall business strategy.People Management• Manage the effective achievement of assigned objectives through the leadership of the department by setting of individual objectives, managing performance, developing, and motivating staff to maximize sectional performance.• Lead the talent development initiatives for the assigned department, collaborating with technical/discipline experts and thereby ensure the availability of talent to fit business requirements.• Act as a role model and drive adherence to organizational values and ethics by employees of the assigned department to foster a value driven culture within the organization.Budgeting and Financial Performance• Manage the preparation and recommend the department budget and monitor financial performance versus the budget while ensuring all sectional activities are conducted in line with the approved guidelines.Policies, Systems, Processes & Procedures• Manage the effective implementation of department policies, procedures and controls covering all areas of assigned department activities so that all relevant procedural/regulatory requirements are fulfilled while delivering a quality, cost-effective service.Continuous Improvement• Lead the identification of opportunities for continuous improvement and sustainability of systems, processes and practices considering global standards, productivity improvement and cost reduction.Customer Service Excellence• Manage the implementation of processes for successful client relationship management to enhance the customer journey in line with SPL s customer experience strategy.• Review and enhance customer experience management processes and procedures, monitor compliance to defined quality standards to ensure productivity and consistency of process performance.• Lead and guide the team to ensure proactive engagement with clients and provide solutions to achieve optimum client satisfaction and brand loyalty for SPL.Reporting• Ensure that all department reports are prepared timely and accurately and meet SPL requirements, policies, and quality standards.Job Specific Accountabilities:• Collaborate with data analysts to translate consumer data into functional and accessible information that can help the organization change or revise a product, service, marketing strategy, or sales tactic.• Manage strong client and vendor relationships to deliver consumer information that has a direct effect on the organization s business goals and ROI.• Manage the building of industry benchmarking to forecast market risks to SPL s market positions and execute mitigation plans.• Develop internal market insight tools and capabilities not relying only on agency services• Provide insight on new opportunities to target from local and global market research.• Support in the collection and study of information about customers, sales trends, products, and services to achieve SPL s future business and marketing plans.Skills• Sales Strategy & Planning• Data analytical skill set (MS Excel and PPT)• Market Insights• Sales Concepts Knowledge• Sales Lead Generation / Management• Revenue Forecasting• Customer Complaint Management• Relationship ManagementApply Now",Splonline,Market Intelligence and Research Director,https://www.naukrigulf.com/market-intelligence-and-research-director-jobs-in-riyadh-saudi-arabia-in-splonline-8-to-10-years-n-cd-10009415-jid-210824502221
Posted on 19 Aug,3 - 6 Years,Riyadh,,Bachelor of Business Administration(Management),"Job DescriptionRoles & ResponsibilitiesJob Description• Participate with consumer opinion collection methods to design, administer, and interpret surveys, experiments, focus groups, polls, market research, sales data, etc.• Collaborate with data analysts to translate consumer data into functional and accessible information that can help the organization change or revise a product, service, marketing strategy, or sales tactic.• work with and have a strong client and vendor relationships to deliver consumer information that has a direct effect on the organization s business goals and ROI.• participate the building of industry benchmarking to forecast market risks to SPL s market positions and execute mitigation plans.• Review market landscape, forecast market dynamics trends and competition and suggest marketing strategies by offering objective market point through understanding and evaluating customer and environmental informationSkillsManages ComplexityAction OrientedCommunicate EffectivelyBeing ResilientCustomer FocusCollaboratesInstill Trust",Splonline,Sr. Market Research Manager,https://www.naukrigulf.com/sr-market-research-manager-jobs-in-riyadh-saudi-arabia-in-splonline-3-to-6-years-n-cd-10009415-jid-200824501000
